userName,conditionId,testId,titer,userResult
A12FTSX85NQ8N9,0,0,0.50,1
A12FTSX85NQ8N9,0,2,0.70,1
A12FTSX85NQ8N9,0,1,0.40,0
A12FTSX85NQ8N9,0,3,0.60,1
A12FTSX85NQ8N9,0,4,0.50,1
A12FTSX85NQ8N9,0,5,0.40,0
A12FTSX85NQ8N9,0,7,0.75,1
A12FTSX85NQ8N9,0,8,0.65,0
A12FTSX85NQ8N9,0,9,0.75,1
A12FTSX85NQ8N9,0,10,0.65,1
A12FTSX85NQ8N9,0,11,0.55,0
A12FTSX85NQ8N9,0,12,0.75,1
A12FTSX85NQ8N9,0,13,0.65,0
A12FTSX85NQ8N9,0,14,0.75,1
A12FTSX85NQ8N9,0,15,0.65,0
A12FTSX85NQ8N9,0,16,0.75,1
A12FTSX85NQ8N9,0,17,0.65,1
A12FTSX85NQ8N9,0,18,0.55,1
A12FTSX85NQ8N9,0,19,0.45,0
A12FTSX85NQ8N9,1,0,0.50,0
A12FTSX85NQ8N9,1,1,0.75,1
A12FTSX85NQ8N9,1,2,0.65,1
A12FTSX85NQ8N9,1,3,0.55,1
A12FTSX85NQ8N9,1,4,0.45,1
A12FTSX85NQ8N9,1,5,0.35,0
A12FTSX85NQ8N9,1,6,0.65,0
A12FTSX85NQ8N9,1,7,0.75,1
A12FTSX85NQ8N9,1,8,0.65,1
A12FTSX85NQ8N9,1,9,0.55,0
A12FTSX85NQ8N9,1,10,0.75,1
A12FTSX85NQ8N9,1,11,0.65,1
A12FTSX85NQ8N9,1,12,0.55,0
A12FTSX85NQ8N9,1,13,0.75,1
A12FTSX85NQ8N9,1,14,0.65,0
A12FTSX85NQ8N9,1,15,0.75,1
A12FTSX85NQ8N9,1,16,0.65,0
A12FTSX85NQ8N9,1,17,0.75,0
A12FTSX85NQ8N9,1,18,0.75,0
A12FTSX85NQ8N9,1,19,0.75,1
A12FTSX85NQ8N9,2,0,0.50,0
A12FTSX85NQ8N9,2,1,0.75,0
A12FTSX85NQ8N9,2,2,0.75,1
A12FTSX85NQ8N9,2,3,0.65,1
A12FTSX85NQ8N9,2,4,0.55,1
A12FTSX85NQ8N9,2,5,0.45,1
A12FTSX85NQ8N9,2,6,0.35,1
A12FTSX85NQ8N9,2,7,0.25,1
A12FTSX85NQ8N9,2,8,0.15,1
A12FTSX85NQ8N9,2,9,0.10,1
A12FTSX85NQ8N9,2,10,0.10,0
A12FTSX85NQ8N9,2,11,0.40,0
A12FTSX85NQ8N9,2,12,0.70,1
A12FTSX85NQ8N9,2,13,0.60,1
A12FTSX85NQ8N9,2,14,0.50,0
A12FTSX85NQ8N9,2,15,0.75,1
A12FTSX85NQ8N9,2,16,0.65,1
A12FTSX85NQ8N9,2,17,0.55,1
A12FTSX85NQ8N9,2,18,0.45,1
A12FTSX85NQ8N9,2,19,0.35,1
A12FTSX85NQ8N9,3,0,0.50,0
A12FTSX85NQ8N9,3,1,0.75,1
A12FTSX85NQ8N9,3,2,0.65,1
A12FTSX85NQ8N9,3,3,0.55,1
A12FTSX85NQ8N9,3,4,0.45,1
A12FTSX85NQ8N9,3,5,0.35,1
A12FTSX85NQ8N9,3,6,0.25,1
A12FTSX85NQ8N9,3,7,0.15,1
A12FTSX85NQ8N9,3,8,0.10,0
A12FTSX85NQ8N9,3,9,0.40,1
A12FTSX85NQ8N9,3,10,0.30,1
A12FTSX85NQ8N9,3,11,0.20,0
A12FTSX85NQ8N9,3,12,0.50,1
A12FTSX85NQ8N9,3,13,0.40,1
A12FTSX85NQ8N9,3,14,0.30,1
A12FTSX85NQ8N9,3,15,0.20,1
A12FTSX85NQ8N9,3,16,0.10,0
A12FTSX85NQ8N9,3,17,0.40,1
A12FTSX85NQ8N9,3,18,0.30,1
A12FTSX85NQ8N9,3,19,0.20,1
A12FTSX85NQ8N9,4,0,0.50,1
A12FTSX85NQ8N9,4,1,0.40,0
A12FTSX85NQ8N9,4,2,0.70,1
A12FTSX85NQ8N9,4,3,0.60,1
A12FTSX85NQ8N9,0,6,0.70,0
A12FTSX85NQ8N9,4,4,0.50,1
A12FTSX85NQ8N9,4,5,0.40,1
A12FTSX85NQ8N9,4,7,0.60,1
A12FTSX85NQ8N9,4,6,0.30,0
A12FTSX85NQ8N9,4,9,0.75,1
A12FTSX85NQ8N9,4,8,0.50,0
A12FTSX85NQ8N9,4,10,0.65,1
A12FTSX85NQ8N9,4,12,0.75,1
A12FTSX85NQ8N9,4,11,0.55,0
A12FTSX85NQ8N9,4,13,0.65,1
A12FTSX85NQ8N9,4,15,0.45,1
A12FTSX85NQ8N9,4,14,0.55,1
A12FTSX85NQ8N9,4,16,0.35,1
A12FTSX85NQ8N9,4,17,0.25,0
A12FTSX85NQ8N9,4,18,0.55,1
A12FTSX85NQ8N9,4,19,0.45,1
A12FTSX85NQ8N9,5,0,0.50,0
A12FTSX85NQ8N9,5,1,0.75,1
A12FTSX85NQ8N9,5,2,0.65,1
A12FTSX85NQ8N9,5,3,0.55,1
A12FTSX85NQ8N9,5,4,0.45,1
A12FTSX85NQ8N9,5,5,0.35,1
A12FTSX85NQ8N9,5,6,0.25,1
A12FTSX85NQ8N9,5,7,0.15,0
A12FTSX85NQ8N9,5,8,0.45,1
A12FTSX85NQ8N9,5,9,0.35,1
A12FTSX85NQ8N9,5,10,0.25,1
A12FTSX85NQ8N9,5,11,0.15,0
A12FTSX85NQ8N9,5,12,0.45,1
A12FTSX85NQ8N9,5,13,0.35,1
A12FTSX85NQ8N9,5,14,0.25,1
A12FTSX85NQ8N9,5,15,0.15,1
A12FTSX85NQ8N9,5,16,0.10,1
A12FTSX85NQ8N9,5,17,0.10,0
A12FTSX85NQ8N9,5,19,0.30,1
A12FTSX85NQ8N9,5,18,0.40,1
