userName,fileId,conditionId,changeMagnitude,userResult,totalTime
A2V27A9GZA1NR2,0,1,2,8,7.728
A2V27A9GZA1NR2,27,4,1,8,8.229
A2V27A9GZA1NR2,12,1,0,7,9.181
A2V27A9GZA1NR2,21,4,2,7,8.598
A2V27A9GZA1NR2,29,0,1,9,6.532
A2V27A9GZA1NR2,15,4,0,9,6.431
A2V27A9GZA1NR2,60,-1,2,6,6.385
A2V27A9GZA1NR2,34,5,0,8,6.65
A2V27A9GZA1NR2,1,2,2,8,8.685
A2V27A9GZA1NR2,20,3,2,7,11.147
A2V27A9GZA1NR2,7,2,1,8,4.908
A2V27A9GZA1NR2,5,0,2,8,14.228
A2V27A9GZA1NR2,10,5,1,8,10.715
A2V27A9GZA1NR2,13,2,0,7,5.714
A2V27A9GZA1NR2,14,3,0,9,6.035
A2V27A9GZA1NR2,32,-1,2,6,4.681
A2V27A9GZA1NR2,22,5,2,8,6.398
A2V27A9GZA1NR2,62,-1,2,6,5.596
A2V27A9GZA1NR2,23,0,2,7,6.489
A2V27A9GZA1NR2,17,0,0,10,7.545
A2V27A9GZA1NR2,8,3,1,7,7.185
A2V27A9GZA1NR2,35,0,0,7,7.666
A2V27A9GZA1NR2,3,4,2,8,6.85
A2V27A9GZA1NR2,33,4,0,8,6.894
A2V27A9GZA1NR2,9,4,1,9,5.858
A2V27A9GZA1NR2,4,5,2,8,5.346
A2V27A9GZA1NR2,3,-1,2,6,7.275
A2V27A9GZA1NR2,6,1,1,8,4.998
A2V27A9GZA1NR2,28,5,1,7,7.662
A2V27A9GZA1NR2,18,1,2,8,5.82
A2V27A9GZA1NR2,11,0,1,8,6.472
A2V27A9GZA1NR2,30,1,0,6,7.203
A2V27A9GZA1NR2,19,2,2,9,6.058
A2V27A9GZA1NR2,25,2,1,6,9.54
A2V27A9GZA1NR2,31,2,0,6,9.318
A2V27A9GZA1NR2,32,3,0,8,9.197
A2V27A9GZA1NR2,16,5,0,8,8.309
A2V27A9GZA1NR2,2,3,2,6,8.087
A2V27A9GZA1NR2,26,3,1,7,7.728
A2V27A9GZA1NR2,24,1,1,8,7.238
